Game Date,Player Name,Position,Team,Opponent,Period 1 - SOG,Period 2 - SOG,Period 3 - SOG,Total SOG,Period 1 - Blocked,Period 1 - Missed,Period 1 - Failed Shots,Period 2 - Blocked,Period 2 - Missed,Period 2 - Failed Shots,Period 3 - Blocked,Period 3 - Missed,Period 3 - Failed Shots,SUM of Failed Shots,SUM of Shot Attempts,Shot %,Failed Shot %
10/4/2024,Nicolas Aube-Kubel,RW,Buffalo Sabres,New Jersey Devils,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,100,0
10/4/2024,Zach Benson,LW,Buffalo Sabres,New Jersey Devils,0,1,1,2,0,0,0,0,0,0,0,1,1,1,3,66.66666667,33.33333333
10/4/2024,Bowen Byram,D,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,100
10/4/2024,Connor Clifton,D,Buffalo Sabres,New Jersey Devils,0,0,1,1,0,0,0,0,1,1,0,1,1,2,3,33.33333333,66.66666667
10/4/2024,Dylan Cozens,C,Buffalo Sabres,New Jersey Devils,1,5,1,7,0,0,0,0,1,1,0,1,1,2,9,77.77777778,22.22222222
10/4/2024,Rasmus Dahlin,D,Buffalo Sabres,New Jersey Devils,0,0,2,2,1,0,1,1,0,1,1,0,1,3,5,40,60
10/4/2024,Jordan Greenway,LW,Buffalo Sabres,New Jersey Devils,0,2,0,2,0,1,1,0,0,0,0,1,1,2,4,50,50
10/4/2024,Henri Jokiharju,D,Buffalo Sabres,New Jersey Devils,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,100
10/4/2024,Sam Lafferty,C,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2024,Beck Malenstyn,LW,Buffalo Sabres,New Jersey Devils,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/4/2024,Ryan McLeod,C,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2024,John-Jason Peterka,RW,Buffalo Sabres,New Jersey Devils,1,1,0,2,3,0,3,1,0,1,1,2,3,7,9,22.22222222,77.77777778
10/4/2024,Owen Power,D,Buffalo Sabres,New Jersey Devils,0,0,3,3,0,2,2,0,1,1,0,1,1,4,7,42.85714286,57.14285714
10/4/2024,Jack Quinn,RW,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,0,100
10/4/2024,Mattias Samuelsson,D,Buffalo Sabres,New Jersey Devils,1,0,1,2,0,0,0,2,1,3,0,0,0,3,5,40,60
10/4/2024,Tage Thompson,C,Buffalo Sabres,New Jersey Devils,0,0,3,3,0,1,1,2,1,3,2,0,2,6,9,33.33333333,66.66666667
10/4/2024,Alex Tuch,RW,Buffalo Sabres,New Jersey Devils,1,0,1,2,0,0,0,1,0,1,2,0,2,3,5,40,60
10/4/2024,Jason Zucker,LW,Buffalo Sabres,New Jersey Devils,1,1,0,2,0,1,1,0,3,3,0,0,0,4,6,33.33333333,66.66666667
,,,,,,,,,,,,,,,,,,,,,
10/5/2024,Bowen Byram,D,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,100
10/5/2024,Connor Clifton,D,Buffalo Sabres,New Jersey Devils,0,0,1,1,0,1,1,0,1,1,0,1,1,3,4,25,75
10/5/2024,Dylan Cozens,C,Buffalo Sabres,New Jersey Devils,0,1,0,1,1,0,1,0,0,0,0,0,0,1,2,50,50
10/5/2024,Rasmus Dahlin,D,Buffalo Sabres,New Jersey Devils,0,0,1,1,2,1,3,1,1,2,6,0,6,11,12,8.333333333,91.66666667
10/5/2024,Jordan Greenway,LW,Buffalo Sabres,New Jersey Devils,1,1,2,4,1,1,2,0,1,1,0,1,1,4,8,50,50
10/5/2024,Henri Jokiharju,D,Buffalo Sabres,New Jersey Devils,2,1,1,4,1,0,1,0,0,0,0,0,0,1,5,80,20
10/5/2024,Peyton Krebs,C,Buffalo Sabres,New Jersey Devils,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2,50,50
10/5/2024,Jiri Kulich,C,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,100
10/5/2024,Sam Lafferty,C,Buffalo Sabres,New Jersey Devils,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/5/2024,Beck Malenstyn,LW,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,1,1,1,0,1,0,0,0,2,2,0,100
10/5/2024,Ryan McLeod,C,Buffalo Sabres,New Jersey Devils,0,0,0,0,1,1,2,0,0,0,0,1,1,3,3,0,100
10/5/2024,John-Jason Peterka,RW,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/5/2024,Owen Power,D,Buffalo Sabres,New Jersey Devils,0,1,1,2,0,1,1,1,1,2,0,0,0,3,5,40,60
10/5/2024,Jack Quinn,RW,Buffalo Sabres,New Jersey Devils,0,0,0,0,1,0,1,1,0,1,2,0,2,4,4,0,100
10/5/2024,Mattias Samuelsson,D,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/5/2024,Tage Thompson,C,Buffalo Sabres,New Jersey Devils,0,2,1,3,1,0,1,1,0,1,1,2,3,5,8,37.5,62.5
10/5/2024,Alex Tuch,RW,Buffalo Sabres,New Jersey Devils,0,0,0,0,0,1,1,1,3,4,1,2,3,8,8,0,100
10/5/2024,Jason Zucker,LW,Buffalo Sabres,New Jersey Devils,0,0,0,0,1,1,2,0,0,0,0,0,0,2,2,0,100
